igkv ABDC01-igkv 1
trdv AGCE01-trdv 1
trdv AQIB01-trdv 1
trav JZKE01-trav 4
trdv JABR01-trdv 1
trgv JYKQ01-trgv 3
trdv AQIA01-trdv 1
ighv AGCE01-ighv 1
ighv AQIB01-ighv 1
ighv JABR01-ighv 1
igkv JYKQ01-igkv 1
ighv AQIA01-ighv 1
trbv ADFV01-trbv 2
iglv AQIB01-iglv 2
trgv JZKE01-trgv 4
trbv ABGA01-trbv 1
iglv JABR01-iglv 2
trbv ABRT01-trbv 1
trdv ADFV01-trdv 1
iglv AQIA01-iglv 2
ighv AHZZ01-ighv 7
trdv ABGA01-trdv 1
trgv CABD02-trgv 1
ighv ADFV01-ighv 1
trbv ABDC01-trbv 2
ighv ABRT01-ighv 2
ighv ABDC01-ighv 3
trav AGCE01-trav 5
trav AQIB01-trav 2
iglv ABRT01-iglv 4
trav JABR01-trav 3
trdv JYKQ01-trdv 1
trav AQIA01-trav 2
iglv ABDC01-iglv 1
trgv AJFE01-trgv 1
trbv JZKE01-trbv 1
trgv AGCE01-trgv 1
trgv AQIB01-trgv 3
igkv AJFE01-igkv 1
trdv JZKE01-trdv 1
trgv JABR01-trgv 3
trgv AQIA01-trgv 2
iglv JYKQ01-iglv 1
trav ADFV01-trav 1
igkv AQIB01-igkv 2
ighv JZKE01-ighv 1
trav ABGA01-trav 1
igkv JABR01-igkv 1
trav ABRT01-trav 4
igkv AQIA01-igkv 1
trav ABDC01-trav 2
iglv JZKE01-iglv 1
trgv ADFV01-trgv 1
trgv ABGA01-trgv 2
trgv ABRT01-trgv 1
trav JYKQ01-trav 5
igkv ABRT01-igkv 4
trgv ABDC01-trgv 1
trbv AGCE01-trbv 1
trdv AJFE01-trdv 1
