iglv  ABDC01-iglv  3
trbv  ABDC01-trbv  1
ighv  ABGA01-ighv  4
igkv  ABGA01-igkv  2
iglv  ABGA01-iglv  3
trgv  ABGA01-trgv  1
igkv  ABRT01-igkv  1
trav  ABRT01-trav  2
ighv  ADFV01-ighv  1
igkv  ADFV01-igkv  3
iglv  ADFV01-iglv  4
trav  ADFV01-trav  3
trbv  ADFV01-trbv  4
ighv  AGCE01-ighv  2
igkv  AGCE01-igkv  2
iglv  AGCE01-iglv  1
trav  AGCE01-trav  3
ighv  AHZZ01-ighv  1
igkv  AHZZ01-igkv  7
iglv  AHZZ01-iglv  5
trav  AHZZ01-trav  3
trbv  AHZZ01-trbv  1
ighv  AJFE01-ighv  1
igkv  AJFE01-igkv  2
iglv  AJFE01-iglv  2
trav  AJFE01-trav  2
trbv  AJFE01-trbv  3
trgv  AJFE01-trgv  1
ighv  AQIA01-ighv  2
igkv  AQIA01-igkv  6
iglv  AQIA01-iglv  6
trav  AQIA01-trav  4
trbv  AQIA01-trbv  2
igkv  AQIB01-igkv  5
iglv  AQIB01-iglv  3
trav  AQIB01-trav  3
trbv  AQIB01-trbv  3
iglv  CABD02-iglv  2
trav  CABD02-trav  2
trbv  CABD02-trbv  3
ighv  JABR01-ighv  3
igkv  JABR01-igkv  2
iglv  JABR01-iglv  3
trav  JABR01-trav  3
trbv  JABR01-trbv  2
ighv  JYKQ01-ighv  3
igkv  JYKQ01-igkv  3
iglv  JYKQ01-iglv  5
trbv  JYKQ01-trbv  3
iglv  JZKE01-iglv  3
trav  JZKE01-trav  3
trbv  JZKE01-trbv  1

