Vs108 :376251
Vs109 :401350
Vs111 :488322
Vs112 :500478
Vs113 :519213
Vs114 :529174
Vs115 :565499
Vs116 :578733
Vs117 :591555
Vs118 :596995
Vs119 :617955
Vs120 :640534
Vs121 :652598
Vs122 :666453
Vs123 :672400
Vs124 :690721
Vs125 :728129
Vs126 :739936
Vs127 :749404
Vs128 :761628
Vs129 :764847
Vs130 :800535
Vs131 :810887
Vs132 :839337
Vs133 :872393
Vs134 :880638
Vs135 :891541
Vs137 :955189
Vs138 :959651
Vs139 :967091
Vs140 :978093
Vs141 :987210
Vs142 :1004599
Vs143 :1023920
Vs144 :1047025
Vs145 :1051890
Vs146 :1064816
Vs147 :1069501
Vs149 :1107470
Vs150 :1116977
Vs151 :1140581
Vs152 :1157944
Vs184 :1500
