IGHV3OR15 Scaffold1099214757507:238-537       1
IGHV3-23 Scaffold1099214148171:797-1845      -1
IGHV3-72 Scaffold1099548049584:700393-701553  1 
IGHV3-7 Scaffold1099548049584:654699-654992   1
IGHV3-49 Scaffold1099548049584:187218-187895  1
IGLV5-52 Chr10    66038886-66039290   1
IGLV7-46 Chr10    66222287-66222580   1
IGLV9-49 Chr10    66252992-66253527   1
IGLV1-51 Chr10    66335879-66336272   1
IGLV5-45 Chr10    66226801-66227112   1
IGLV11-55 Chr10   65906638-65906946   1
IGLV10-54 Chr10   65929928-65930221   1
IGLV8-61 Chr10    65803593-65803889   1
IGKV4-1 Chr13     89436957-89437895   1
IGKV1-27 Chr13    90246706-90247293       -1
IGKV2D-2 Chr13    113209235-113209678     -1
IGKV3-20 Chr13    89827964-89828257       -1
TRAV23DV6 Scaffold1099214128018:627-1136  -1
TRAV14DV4 Chr7      84639642-84640144      1
TRAV8-6 Chr7      84695438-84695874   1
TRAV40 Chr7       85118821-85119249   1
TRAV30 Chr7       84991102-84991653   1
TRAV25 Chr7       84934218-84934823   1
TRAV6 Chr7        84496390-84496913   1
TRAV22 Scaffold1099214732309  1261-1818  1
TRAV5 Chr7        84486442-84486950      1
TRAV4 Chr7        84467455-84468214      1
TRAV27 Chr7       84971778-84972336      1
TRAV17 Chr7       84716663-84717140      1
TRAV19 Chr7       84732052-84732598      1
TRAV8-4 Chr7      84564285-84564755      1
TRAV41 Chr7       85125178-85125679      1
TRBV11-3 Chr3     180086601-180112240    1
TRBV5-6 Chr3      179988975-179989609    1
TRBV5-4 Chr3      179951177-179951702    1
TRBV5-3 Chr3      179877783-179878247    1
TRBV5-1 Chr3      179805555-179806016    1
TRBV11-1 Chr3     179921910-179922345    1
TRBV18 Chr3       180168975-180169600    1
TRBV13 Chr3       180093458-180093897    1
